"Product, Brand, and Size",Price per Unit,Price,Calories,Fat,,,Cholestrol,Sodium,Carbs,,,Protein,Vitamin D,Calcium,Iron,Potassium
Applegate Natural Smoked Turkey Breast - 7 Oz,($1.21 / Ounce),8.47,50,0.50g,0.00g,0.00g,25.00mg,290.00mg,1.00g,0.00g,0.00g,11.00g,0.00mcg,3.00mg,0.00mg,365.00mg
Applegate Natural Uncured Sunday Bacon - 8oz,($0.94 / Ounce),7.52,70,5.00g,2.00g,0.00g,10.00mg,310.00mg,0.00g,0.00g,0.00g,6.00g,0.00mcg,1.00mg,0.00mg,33.00mg
Applegate Natural Uncured Turkey Hot Dog - 10oz,($0.60 / Ounce),6,80,5.00g,1.00g,0.00g,30.00mg,470.00mg,1.00g,0.00g,0.00g,7.00g,0.00mcg,37.00mg,1.00mg,209.00mg
Applegate Naturals Charcuterie Trio - 3 OZ,($2.83 / Ounce),8.49,90,6.50g,2.50g,0.00g,25.00mg,470.00mg,0.00g,0.00g,0.00g,8.00g,0.00mcg,0.00mg,2.00mg,155.00mg
Applegate Organic Oven Roasted Turkey Breast - 6 Oz,($1.50 / Ounce),9,50,0.00g,0.00g,0.00g,20.00mg,380.00mg,1.00g,0.00g,0.00g,11.00g,0.00mcg,2.00mg,0.00mg,153.00mg
Applegate The Great Organic Uncured Beef Hot Dog - 10oz,($0.85 / Ounce),8.5,110,9.00g,4.00g,0.00g,25.00mg,500.00mg,0.00g,0.00g,0.00g,7.00g,0.00mcg,6.00mg,1.00mg,193.00mg
Apples Ambrosia Organic 2lb - 2 LB,($2.50 / Lb),5,90,0.00g,0.00g,0.00g,0.00mg,0.00mg,25.00g,4.00g,19.00g,0.00g,0.00mcg,10.00mg,0.20mg,190.00mg
Apples Gala Tote - 5 Lb,($2.49 / Lb),12.45,130,0.00g,0.00g,0.00g,0.00mg,0.00mg,34.00g,5.00g,0.00g,1.00g,0.00mcg,15.00mg,0.30mg,260.00mg
ApplesAMApples Honey Crisp Tote - 5 Lb,($3.99 / Lb),19.95,95,0.30g,0.10g,0.00g,0.00mg,1.80mg,25.00g,4.40g,19.00g,0.50g,0.00mcg,11.00mg,0.20mg,194.70mg
Armour Lunch Maker Cracker Crunchers Turkey - 2.6 Oz,($0.73 / Ounce),1.898,200,10.00g,3.50g,0.00g,20.00mg,600.00mg,21.00g,0.50g,10.00g,9.00g,0.00mcg,130.00mg,1.10mg,282.00mg
Armour Star Lard - 16 Oz,($0.22 / Ounce),3.52,120,13.00g,6.00g,0.00g,10.00mg,0.00mg,0.00g,0.00g,0.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Arrowhead Mills Organic Barley Pearled - 28 Oz,($0.27 / Ounce),7.56,150,0.50g,0.00g,0.00g,0.00mg,0.00mg,34.00g,7.00g,0.00g,4.00g,0.00mcg,10.00mg,1.10mg,120.00mg
Arrowhead Mills Organic Quinoa - 14 Oz,($0.68 / Ounce),9.52,160,2.50g,0.00g,0.00g,0.00mg,10.00mg,30.00g,3.00g,0.00g,6.00g,0.00mcg,30.00mg,4.00mg,320.00mg
Artichokes Baby,($8.99 / Lb),0,10,0.00g,0.00g,0.00g,0.00mg,115.00g,2.00g,1.00g,0.50g,0.00g,0.00mcg,0.00mg,0.00mg,55.00mg
Artisan Romaine Prepacked - 2 Count,($1.75 / Count),3.5,0.3,0.00g,0.00g,0.00g,7.50mg,3.10mg,2.00g,1.10g,1.20g,0.00g,0%,3.10%,5.10%,0%
Arugula,($2.99 / Each),0,20,0.00g,0.00g,0.00g,0.00mg,25.00mg,3.00mg,1.00g,2.00g,2.00g,0.00g,138.00mcg,1.00mg,314.00mg
Asian Brown Pear,($3.49 / Each),0,51,0.30g,0.00g,0.00g,0.00mg,0.00mg,13.00g,4.40g,8.60g,0.60g,0.00mcg,4.90mg,0.00mg,147.00mg
Asparagus Purple,($6.99 / Lb),0,17,0.20g,0.00g,0.00g,0.00mg,11.00mg,3.10g,1.50g,1.00g,1.80g,0.00mcg,17.00mg,0.70mg,168.00mg
Atkins Cheesy Chicken Risotto - 9 Oz,($0.44 / Ounce),3.96,310,19.00g,9.00g,0.00g,90.00mg,870.00mg,9.00g,3.00g,2.00g,26.00g,0%,25%,6%,0%
Atkins Margherita Chicken - 9 Oz,($0.44 / Ounce),3.96,400,28.00g,7.00g,0.00g,85.00mg,830.00mg,9.00g,3.00g,4.00g,28.00g,0%,25%,10%,0%
Atkins Merlot Beef - 9 Oz,($0.44 / Ounce),3.96,310,21.00g,5.00g,0.00g,55.00mg,810.00mg,9.00g,3.00g,2.00g,20.00g,0%,6%,15%,0%
Atlantic Salmon Fillet Farmed Fresh Color Added - 1 Lb,($11.99 / Lb),11.99,240,15.00g,3.50g,0.00g,60.00mg,65.00mg,0.00g,0.00g,0.00g,23.00g,12.00mcg,10.00mg,0.40mg,410.00mg
Atlantic Salmon Fresh Skewer 2 Oz - Each,($2.00 / Each),0,468,28.00g,5.40g,10.00g,143.00mg,138.00mg,0.00g,0.00g,0.00g,50.00g,30.00mcg,34.00mg,0.80mg,871.70mg
Auntie Annes Pretzel Dogs Classic All Beef 4 Count - 16 Oz,($0.41 / Ounce),6.56,320,17.00g,7.00g,0.00g,30.00mg,680.00mg,31.00g,1.00g,4.00g,11.00g,0%,6%,15%,0%
Australian Lamb Loin Chops - 1 LB,($8.99 / Lb),8.99,194,17.00g,7.30g,0.90g,45.00mg,41.00mg,0.10g,0.00g,0.00g,10.00g,0.10mcg,9.10mg,0.80mg,170.30mg
Azumaya Silken Tofu - 16 OZ,($0.21 / Ounce),3.36,90,5.00g,1.00g,0.00g,0.00mg,10.00mg,1.00g,0.00g,0.00g,10.00g,0%,15%,6%,0%
Azumaya Tofu Extra Firm - 14 Oz,($0.21 / Ounce),2.94,70,4.00g,0.00g,0.00g,0.00mg,20.00mg,2.00g,0.50g,0.00g,8.00g,0%,15%,8%,0%
Azumaya Tofu Firm - 16 Oz,($0.21 / Ounce),3.36,70,4.00g,0.50g,0.00g,0.00mg,5.00mg,2.00g,0.50g,1.00g,7.00g,0%,10%,6%,3%
Baby Bok Choy Bunch,($3.99 / Lb),0,13,0.20g,0.00g,0.00g,0.00mg,36.00mg,1.90g,1.00g,0.90g,1.60g,0.00mcg,97.00mg,1.10mg,387.90mg
Baby Green Zucchini Squash,($8.99 / Lb),0,35,0.00g,0.00g,0.00g,0.00mg,4.00mg,9.00g,1.00g,2.00g,1.00g,0%,3%,5%,0%
Baby Purple Artichoke,($7.99 / Lb),0,10,0.00g,0.00g,0.00g,0.00mg,115.00g,2.00g,1.00g,0.50g,0.00g,0.00mcg,0.00mg,0.00mg,55.00mg
Baby Turnips,($3.69 / Each),0,26,0.1,0.00g,0.00g,0.00g,19.00mg,6.10mg,2.40g,3.60g,0.90g,0.00g,40.00mcg,0.20mg,212.40mg
Bacon Applewood Smoked Thick Cut - 1 Lb,($5.49 / Lb),5.49,70,5.00g,2.00g,0.00g,10.00mg,210.00mg,0.00g,0.00g,0.00g,6.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Baken-Ets Fired Pork Skins Flamin Hot - 4 OZ,($0.67 / Ounce),2.68,70,4.50g,2.00g,0.00g,15.00mg,430.00mg,0.50g,0.00g,0.00g,7.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Bakery Stuffing,($1.99 / Each),0,55,3.40g,0.70g,0.60g,0.00mg,136.00mg,5.30g,0.20g,0.60g,0.80g,0.00mcg,8.50mg,0.30mg,19.00mg
Ball Park Uncured Angus Beef Hot Dogs - 8 Count,($0.50 / Ounce),4,160,15.00g,6.00g,0.50g,30.00mg,490.00mg,2.00g,0.00g,1.00g,6.00g,0.00%,0.00%,4.00%,20.00%
Banana - Each,($0.33 / Each),0,160,15.00g,6.00g,0.50g,30.00mg,490.00mg,2.00g,0.00g,0.00g,6.00g,0.00%,0.00%,4.00%,20.00%
Banana Wave Banana Milk Original - 32 Fl. Oz.,($0.12 / Fl.oz),3.84,700,20.00g,14.00g,0.00g,65.00mg,390.00mg,117.00g,3.00g,95.00g,14.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Bananas Nino / Baby,($2.99 / Lb),0,105,0.40g,0.10g,0.00g,0.00mg,1.20mg,27.00g,3.10g,14.00g,1.30g,0.00mcg,5.90mg,0.30mg,422.40mg
Banquet Mega Bowls Country Fried Chicken Frozen Meal - 14 Oz,($0.29 / Ounce),4.06,440,20.00g,5.00g,0.00g,50.00mg,1560.00mg,45.00g,3.00g,6.00g,18.00g,0.00mcg,100.00mg,1.40mg,540.00mg
Banza Chickpea Linguine - 8 Oz,($0.46 / Ounce),3.68,190,3.50g,0.00g,0.00g,0.00mg,45.00mg,32.00g,5.00g,2.00g,13.00g,0.00mcg,40.00mg,4.00mg,510.00mg
Banza Pasta Chickpea Penne - 8 Oz,($0.46 / Ounce),3.68,190,3.50g,0.00g,0.00g,0.00mg,35.00mg,32.00g,5.00g,2.00g,12.00g,0.00mcg,40.00mg,3.00mg,510.00mg
Bar S Classic Corn Dogs 21.44 Oz - 21.44 OZ,($0.26 / Ounce),5.5744,200,11.00g,3.00g,0.00g,35.00mg,450.00mg,21.00g,0.00g,7.00g,4.00g,0.00%,4.00%,6.00%,0.00%
Bar-S Bacon Smoked Sliced - 12 Oz,($0.54 / Ounce),6.48,80,7.00g,2.50g,0.00g,15.00mg,280.00mg,0.00g,0.00g,0.00g,4.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Bar-S Beef Corn Dog - 24 Oz,($0.33 / Ounce),7.92,240,15.00g,5.00g,0.00g,25.00mg,530.00mg,18.00g,0.00g,7.00g,7.00g,0.00%,0.00%,6.00%,0.00%
Bar-S Sausage Hot Links - 48 Oz,($0.25 / Ounce),12,130,9.00g,3.50g,0.00g,40.00mg,540.00mg,4.00g,0.00g,0.00g,8.00g,0.00%,0.00%,8.00%,0.00%
Barilla Bucatini Al Bronzo 12oz Pasta Box - 12 OZ,($0.25 / Ounce),3,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,41.00g,3.00g,1.00g,8.00g,0.00mcg,0.00mg,0.00mg,118.00mg
Barilla Cellentani Pasta - 16 OZ,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,12.00mg,2.00mg,118.00mg
Barilla Cut Ziti Pasta - 16 OZ,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,2.00g,1.00g,7.00g,0.00mcg,12.00mg,2.00mg,118.00mg
